Pollutant,Measure,Measure Info,Location,Period,Start_Date,Value
Ozone (O3),Mean,ppb,Lower East Side and Chinatown (CD3),Summer 2014,2014-06-01,27.34
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Greenwich Village - SoHo,2017-2019,2017-01-01,0.0
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush - Flatbush,Winter 2012-13,2012-12-01,10.24
Fine particles (PM 2.5),Mean,mcg/m3,East Flatbush (CD17),Summer 2015,2015-06-01,9.44
Fine particles (PM 2.5),Mean,mcg/m3,Highbridge and Concourse (CD4),Winter 2019-20,2019-12-01,7.13
Fine particles (PM 2.5),Mean,mcg/m3,Highbridge and Concourse (CD4),Summer 2019,2019-06-01,8.33
Fine particles (PM 2.5),Mean,mcg/m3,Bushwick (CD4),Summer 2019,2019-06-01,8.56
Fine particles (PM 2.5),Mean,mcg/m3,Bushwick (CD4),Winter 2019-20,2019-12-01,8.07
Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Bronx,2005,2005-01-01,3.3
Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Flatlands and Canarsie (CD18),2011,2011-01-01,1.8
Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Brooklyn,2017-2019,2017-01-01,5.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Gramercy Park - Murray Hill,2017-2019,2017-01-01,35.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Bronx,2005-2007,2005-01-01,212.5
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Bronx,2017-2019,2017-01-01,108.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Brooklyn,2017-2019,2017-01-01,54.0
Ozone (O3),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Summer 2014,2014-06-01,28.9
Fine particles (PM 2.5),Mean,mcg/m3,Bensonhurst - Bay Ridge,Annual Average 2023,2023-01-01,6.474937547
Fine particles (PM 2.5),Mean,mcg/m3,Manhattan,Winter 2022-23,2022-12-01,7.197011273
Fine particles (PM 2.5),Mean,mcg/m3,Manhattan,Annual Average 2023,2023-01-01,7.306428575
Fine particles (PM 2.5),Mean,mcg/m3,Greenpoint and Williamsburg (CD1),Winter 2017-18,2017-12-01,10.22
Fine particles (PM 2.5),Mean,mcg/m3,Financial District (CD1),Winter 2012-13,2012-12-01,12.77
Fine particles (PM 2.5),Mean,mcg/m3,Hunts Point and Longwood (CD2),Winter 2019-20,2019-12-01,7.52
Fine particles (PM 2.5),Mean,mcg/m3,Mott Haven and Melrose (CD1),Annual Average 2023,2023-01-01,7.093354653
Fine particles (PM 2.5),Mean,mcg/m3,Greenpoint and Williamsburg (CD1),Winter 2022-23,2022-12-01,7.030832139
Fine particles (PM 2.5),Mean,mcg/m3,Greenpoint and Williamsburg (CD1),Annual Average 2023,2023-01-01,7.403432533
Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Fort Greene and Brooklyn Heights (CD2),2011,2011-01-01,2.3
Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Financial District (CD1),2011,2011-01-01,2.5
Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Manhattan,2017-2019,2017-01-01,4.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Coney Island - Sheepshead Bay,2009-2011,2009-01-01,35.1
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Coney Island - Sheepshead Bay,2017-2019,2017-01-01,30.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",High Bridge - Morrisania,2005-2007,2005-01-01,308.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",High Bridge - Morrisania,2017-2019,2017-01-01,138.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Coney Island - Sheepshead Bay,2005-2007,2005-01-01,38.4
Annual vehicle miles traveled (trucks),Million miles,per square mile,Manhattan,2019,2019-01-01,7.307251
Annual vehicle miles traveled (cars),Million miles,per square mile,Long Island City and Astoria (CD1),2010,2010-01-01,40.151543
Annual vehicle miles traveled (cars),Million miles,per square mile,Woodside and Sunnyside (CD2),2010,2010-01-01,99.945442
Annual vehicle miles traveled (cars),Million miles,per square mile,Mott Haven and Melrose (CD1),2019,2019-01-01,73.759705
Annual vehicle miles traveled (cars),Million miles,per square mile,Mott Haven and Melrose (CD1),2010,2010-01-01,68.396365
Annual vehicle miles traveled (cars),Million miles,per square mile,Financial District (CD1),2010,2010-01-01,80.608897
Annual vehicle miles traveled (trucks),Million miles,per square mile,St. George and Stapleton (CD1),2010,2010-01-01,1.300183
Annual vehicle miles traveled (trucks),Million miles,per square mile,South Beach and Willowbrook (CD2),2019,2019-01-01,1.785353
Annual vehicle miles traveled (trucks),Million miles,per square mile,South Beach and Willowbrook (CD2),2010,2010-01-01,1.433544
Annual vehicle miles traveled (trucks),Million miles,per square mile,St. George and Stapleton (CD1),2019,2019-01-01,2.033181
Fine particles (PM 2.5),Mean,mcg/m3,Midtown (CD5),Winter 2012-13,2012-12-01,16.09
Fine particles (PM 2.5),Mean,mcg/m3,East New York and Starrett City (CD5),Annual Average 2023,2023-01-01,6.738729025
Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Fordham and University Heights (CD5),2011,2011-01-01,2.3
Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Midtown (CD5),2011,2011-01-01,3.0
Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Ridgewood and Maspeth (CD5),2011,2011-01-01,2.0
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Northeast Bronx,2017-2019,2017-01-01,116.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Chelsea - Clinton,2017-2019,2017-01-01,50.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Northeast Bronx,2005-2007,2005-01-01,152.6
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Downtown - Heights - Slope,2017-2019,2017-01-01,43.0
Annual vehicle miles traveled (trucks),Million miles,per square mile,Central Harlem - Morningside Heights,2019,2019-01-01,4.351877
Annual vehicle miles traveled (cars),Million miles,per square mile,Midtown (CD5),2010,2010-01-01,63.57224
Annual vehicle miles traveled (trucks),Million miles,per square mile,Brownsville (CD16),2019,2019-01-01,2.424774
Annual vehicle miles traveled (trucks),Million miles,per square mile,Brownsville (CD16),2010,2010-01-01,1.590894
Annual vehicle miles traveled (trucks),Million miles,per square mile,Ridgewood and Maspeth (CD5),2010,2010-01-01,1.705252
Annual vehicle miles traveled (trucks),Million miles,per square mile,Ridgewood and Maspeth (CD5),2019,2019-01-01,2.456378
Fine particles (PM 2.5),Mean,mcg/m3,Fordham and University Heights (CD5),Summer 2015,2015-06-01,10.47
Fine particles (PM 2.5),Mean,mcg/m3,East New York and Starrett City (CD5),Winter 2022-23,2022-12-01,6.222171203
Fine particles (PM 2.5),Mean,mcg/m3,Fordham and University Heights (CD5),Annual Average 2010,2009-12-01,11.4
Fine particles (PM 2.5),Mean,mcg/m3,Fordham and University Heights (CD5),Winter 2012-13,2012-12-01,12.5
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Downtown - Heights - Slope,2005-2007,2005-01-01,7.9
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Fresh Meadows,2017-2019,2017-01-01,2.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Northeast Bronx,2005-2007,2005-01-01,9.0
Annual vehicle miles traveled (trucks),Million miles,per square mile,Fordham and University Heights (CD5),2019,2019-01-01,10.311225
Annual vehicle miles traveled (trucks),Million miles,per square mile,East New York and Starrett City (CD5),2019,2019-01-01,2.146741
Annual vehicle miles traveled (trucks),Million miles,per square mile,Midtown (CD5),2019,2019-01-01,12.546365
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Northeast Bronx,2017-2019,2017-01-01,5.0
Ozone (O3),Mean,ppb,Fordham and University Heights (CD5),Summer 2010,2010-06-01,30.97
Ozone (O3),Mean,ppb,Fordham and University Heights (CD5),Summer 2011,2011-06-01,30.68
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Upper East Side,2017-2019,2017-01-01,16.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Sunset Park,2005-2007,2005-01-01,47.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",East Harlem,2017-2019,2017-01-01,160.0
Annual vehicle miles traveled (trucks),Million miles,per square mile,Bedford Stuyvesant - Crown Heights,2010,2010-01-01,1.836795
Annual vehicle miles traveled (cars),Million miles,per square mile,Hillcrest and Fresh Meadows (CD8),2010,2010-01-01,89.119314
Annual vehicle miles traveled (cars),Million miles,per square mile,Clinton and Chelsea (CD4),2010,2010-01-01,110.39978
Annual vehicle miles traveled (trucks),Million miles,per square mile,Hillcrest and Fresh Meadows (CD8),2010,2010-01-01,3.222418
Annual vehicle miles traveled (trucks),Million miles,per square mile,Hillcrest and Fresh Meadows (CD8),2019,2019-01-01,3.84937
Annual vehicle miles traveled,Million miles,per square mile,Park Slope and Carroll Gardens (CD6),2019,2019-01-01,93.010396
Annual vehicle miles traveled,Million miles,per square mile,Park Slope and Carroll Gardens (CD6),2010,2010-01-01,66.727126
Fine particles (PM 2.5),Mean,mcg/m3,Stuyvesant Town and Turtle Bay (CD6),Annual Average 2023,2023-01-01,7.531148057
Fine particles (PM 2.5),Mean,mcg/m3,Clinton and Chelsea (CD4),Annual Average 2023,2023-01-01,7.835329515
Fine particles (PM 2.5),Mean,mcg/m3,Belmont and East Tremont (CD6),Winter 2022-23,2022-12-01,6.763746124
Fine particles (PM 2.5),Mean,mcg/m3,Belmont and East Tremont (CD6),Annual Average 2023,2023-01-01,7.00445686
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",East Harlem,2005-2007,2005-01-01,19.5
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Ridgewood - Forest Hills,2017-2019,2017-01-01,1.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Upper East Side,2017-2019,2017-01-01,6.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Bedford Stuyvesant - Crown Heights,2005-2007,2005-01-01,15.1
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Upper East Side,2005-2007,2005-01-01,1.4
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Crotona -Tremont,2017-2019,2017-01-01,7.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Bedford Stuyvesant - Crown Heights,2017-2019,2017-01-01,3.0
Annual vehicle miles traveled (trucks),Million miles,per square mile,Riverdale and Fieldston (CD8),2010,2010-01-01,2.243973
Annual vehicle miles traveled (trucks),Million miles,per square mile,Riverdale and Fieldston (CD8),2019,2019-01-01,2.66564
Annual vehicle miles traveled (trucks),Million miles,per square mile,Rego Park and Forest Hills (CD6),2019,2019-01-01,4.333693
Annual vehicle miles traveled (trucks),Million miles,per square mile,Belmont and East Tremont (CD6),2010,2010-01-01,8.494052
Annual vehicle miles traveled (trucks),Million miles,per square mile,Belmont and East Tremont (CD6),2019,2019-01-01,8.876291
Annual vehicle miles traveled (trucks),Million miles,per square mile,Clinton and Chelsea (CD4),2019,2019-01-01,6.532178
Annual vehicle miles traveled (cars),Million miles,per square mile,Jackson Heights (CD3),2019,2019-01-01,70.635824
Annual vehicle miles traveled (trucks),Million miles,per square mile,East Flatbush (CD17),2019,2019-01-01,2.175616
Annual vehicle miles traveled (trucks),Million miles,per square mile,East Flatbush (CD17),2010,2010-01-01,1.513312
Fine particles (PM 2.5),Mean,mcg/m3,Bedford Stuyvesant (CD3),Annual Average 2023,2023-01-01,6.948465531
Fine particles (PM 2.5),Mean,mcg/m3,Bedford Stuyvesant (CD3),Winter 2022-23,2022-12-01,6.596272548
Fine particles (PM 2.5),Mean,mcg/m3,Bushwick (CD4),Winter 2012-13,2012-12-01,10.39
Fine particles (PM 2.5),Mean,mcg/m3,Lower East Side and Chinatown (CD3),Annual Average 2010,2009-12-01,10.62
Fine particles (PM 2.5),Mean,mcg/m3,Lower East Side and Chinatown (CD3),Winter 2012-13,2012-12-01,11.59
Fine particles (PM 2.5),Mean,mcg/m3,Morrisania and Crotona (CD3),Summer 2015,2015-06-01,9.99
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Greenwich Village - SoHo,2005-2007,2005-01-01,1.3
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Brooklyn,2017-2019,2017-01-01,30.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Bronx,2005-2007,2005-01-01,122.3
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Bronx,2017-2019,2017-01-01,52.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Gramercy Park - Murray Hill,2017-2019,2017-01-01,1.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Brooklyn,2017-2019,2017-01-01,2.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Bronx,2017-2019,2017-01-01,7.0
Annual vehicle miles traveled (trucks),Million miles,per square mile,Elmhurst and Corona (CD4),2010,2010-01-01,4.074909
Annual vehicle miles traveled (trucks),Million miles,per square mile,Jackson Heights (CD3),2010,2010-01-01,1.854947
Annual vehicle miles traveled (trucks),Million miles,per square mile,Morrisania and Crotona (CD3),2010,2010-01-01,2.54012
Annual vehicle miles traveled (trucks),Million miles,per square mile,Flatlands and Canarsie (CD18),2019,2019-01-01,1.017659
Annual vehicle miles traveled (trucks),Million miles,per square mile,Jackson Heights (CD3),2019,2019-01-01,3.386363
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Canarsie - Flatlands,2017-2019,2017-01-01,2.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Canarsie - Flatlands,2005-2007,2005-01-01,5.8
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Brooklyn,2017-2019,2017-01-01,7.0
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Bronx,2017-2019,2017-01-01,12.0
Nitrogen dioxide (NO2),Mean,ppb,Bushwick (CD4),Annual Average 2011,2010-12-01,24.66
Nitrogen dioxide (NO2),Mean,ppb,Bushwick (CD4),Annual Average 2009,2008-12-01,25.88
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant (CD3),Summer 2023,2023-06-01,11.9265525
Ozone (O3),Mean,ppb,Elmhurst and Corona (CD4),Summer 2016,2016-06-01,32.75
Nitrogen dioxide (NO2),Mean,ppb,Bushwick (CD4),Summer 2010,2010-06-01,19.98
Fine particles (PM 2.5),Mean,mcg/m3,Hunts Point and Longwood (CD2),Summer 2019,2019-06-01,9.0
Fine particles (PM 2.5),Mean,mcg/m3,Mott Haven and Melrose (CD1),Winter 2022-23,2022-12-01,6.626513845
Fine particles (PM 2.5),Mean,mcg/m3,Fort Greene and Brooklyn Heights (CD2),Winter 2012-13,2012-12-01,11.15
Fine particles (PM 2.5),Mean,mcg/m3,Fort Greene and Brooklyn Heights (CD2),Annual Average 2010,2009-12-01,10.52
Fine particles (PM 2.5),Mean,mcg/m3,Greenwich Village and Soho (CD2),Winter 2022-23,2022-12-01,8.420231916
Fine particles (PM 2.5),Mean,mcg/m3,Greenwich Village and Soho (CD2),Annual Average 2023,2023-01-01,8.076197121
Fine particles (PM 2.5),Mean,mcg/m3,Financial District (CD1),Annual Average 2010,2009-12-01,12.14
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough Park,2005-2007,2005-01-01,3.3
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Borough Park,2017-2019,2017-01-01,1.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Coney Island - Sheepshead Bay,2005-2007,2005-01-01,5.9
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Manhattan,2005-2007,2005-01-01,5.5
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Lower Manhattan,2005-2007,2005-01-01,3.6
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Union Square - Lower East Side,2005-2007,2005-01-01,6.2
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Bensonhurst - Bay Ridge,2017-2019,2017-01-01,1.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Union Square - Lower East Side,2017-2019,2017-01-01,2.0
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",High Bridge - Morrisania,2005-2007,2005-01-01,18.5
Annual vehicle miles traveled (trucks),Million miles,per square mile,Woodside and Sunnyside (CD2),2010,2010-01-01,5.860954
Annual vehicle miles traveled (trucks),Million miles,per square mile,Greenpoint and Williamsburg (CD1),2010,2010-01-01,4.56663
Annual vehicle miles traveled (trucks),Million miles,per square mile,Greenpoint and Williamsburg (CD1),2019,2019-01-01,6.157186
Annual vehicle miles traveled (trucks),Million miles,per square mile,Fort Greene and Brooklyn Heights (CD2),2010,2010-01-01,7.606192
Annual vehicle miles traveled (trucks),Million miles,per square mile,Fort Greene and Brooklyn Heights (CD2),2019,2019-01-01,9.066414
Annual vehicle miles traveled,Million miles,per square mile,Fort Greene and Brooklyn Heights (CD2),2019,2019-01-01,146.120014
Annual vehicle miles traveled,Million miles,per square mile,Mott Haven and Melrose (CD1),2019,2019-01-01,83.883878
Annual vehicle miles traveled,Million miles,per square mile,Mott Haven and Melrose (CD1),2010,2010-01-01,75.642848
Annual vehicle miles traveled,Million miles,per square mile,Financial District (CD1),2010,2010-01-01,92.67125
Annual vehicle miles traveled (trucks),Million miles,per square mile,Long Island City and Astoria (CD1),2010,2010-01-01,2.104451
Annual vehicle miles traveled (trucks),Million miles,per square mile,Long Island City and Astoria (CD1),2019,2019-01-01,3.523813
Ozone (O3),Mean,ppb,Bay Ridge and Dyker Heights (CD10),Summer 2023,2023-06-01,35.37371742
Ozone (O3),Mean,ppb,Central Harlem (CD10),Summer 2014,2014-06-01,28.65
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",Greenpoint,2009-2011,2009-01-01,28.2
Fine particles (PM 2.5),Mean,mcg/m3,Washington Heights,Winter 2019-20,2019-12-01,7.35
Fine particles (PM 2.5),Mean,mcg/m3,Throgs Neck and Co-op City (CD10),Annual Average 2022,2022-01-01,5.961578046
Fine particles (PM 2.5),Mean,mcg/m3,Williamsbridge and Baychester (CD12),Annual Average 2022,2022-01-01,6.043308886
Fine particles (PM 2.5),Mean,mcg/m3,Throgs Neck and Co-op City (CD10),Winter 2014-15,2014-12-01,9.89
Fine particles (PM 2.5),Mean,mcg/m3,Williamsbridge and Baychester (CD12),Winter 2014-15,2014-12-01,10.09
Fine particles (PM 2.5),Mean,mcg/m3,Throgs Neck and Co-op City (CD10),Winter 2022-23,2022-12-01,6.411859199
Fine particles (PM 2.5),Mean,mcg/m3,Throgs Neck and Co-op City (CD10),Annual Average 2023,2023-01-01,6.801974169
Fine particles (PM 2.5),Mean,mcg/m3,Washington Heights and Inwood (CD12),Winter 2012-13,2012-12-01,12.07
Fine particles (PM 2.5),Mean,mcg/m3,Washington Heights and Inwood (CD12),Annual Average 2010,2009-12-01,10.74
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem (CD10),Summer 2015,2015-06-01,9.94
Fine particles (PM 2.5),Mean,mcg/m3,Upper East Side (CD8),Annual Average 2023,2023-01-01,6.991796515
Fine particles (PM 2.5),Mean,mcg/m3,Williamsbridge and Baychester (CD12),Annual Average 2010,2009-12-01,9.6
Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Throgs Neck and Co-op City (CD10),2011,2011-01-01,2.0
Outdoor Air Toxics - Formaldehyde,Annual average concentration,Âµg/m3,Williamsbridge and Baychester (CD12),2011,2011-01-01,2.0
Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",Greenpoint,2005-2007,2005-01-01,3.5
Asthma emergency departments visits due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",Greenpoint,2005-2007,2005-01-01,42.7
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Washington Heights,2017-2019,2017-01-01,62.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Greenpoint,2005-2007,2005-01-01,60.8
Annual vehicle miles traveled (cars),Million miles,per square mile,Williamsbridge and Baychester (CD12),2010,2010-01-01,44.369122
Annual vehicle miles traveled (cars),Million miles,per square mile,Williamsbridge and Baychester (CD12),2019,2019-01-01,49.94744
Annual vehicle miles traveled (trucks),Million miles,per square mile,Bay Ridge and Dyker Heights (CD10),2019,2019-01-01,4.88924
Annual vehicle miles traveled (trucks),Million miles,per square mile,Bay Ridge and Dyker Heights (CD10),2010,2010-01-01,3.667991
Annual vehicle miles traveled (trucks),Million miles,per square mile,Throgs Neck and Co-op City (CD10),2010,2010-01-01,5.911896
Annual vehicle miles traveled (trucks),Million miles,per square mile,Throgs Neck and Co-op City (CD10),2019,2019-01-01,7.495007
Annual vehicle miles traveled (trucks),Million miles,per square mile,Jamaica and Hollis (CD12),2019,2019-01-01,1.620186
Ozone (O3),Mean,ppb,Sunset Park,Summer 2021,2021-06-01,29.01789586
Fine particles (PM 2.5),Mean,mcg/m3,Staten Island,Summer 2016,2016-06-01,7.8
Fine particles (PM 2.5),Mean,mcg/m3,Staten Island,Winter 2015-16,2015-12-01,7.46
Fine particles (PM 2.5),Mean,mcg/m3,Flatbush and Midwood (CD14),Annual Average 2022,2022-01-01,5.62037205
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park (CD7),Winter 2017-18,2017-12-01,9.3
Fine particles (PM 2.5),Mean,mcg/m3,Kingsbridge Heights and Bedford (CD7),Winter 2013-14,2013-12-01,12.83
Fine particles (PM 2.5),Mean,mcg/m3,Kingsbridge Heights and Bedford (CD7),Winter 2008-09,2008-12-01,14.97
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side (CD7),Winter 2013-14,2013-12-01,13.77
Ozone (O3),Mean,ppb,Williamsburg - Bushwick,Summer 2011,2011-06-01,31.54
Ozone (O3),Mean,ppb,Upper West Side,Summer 2010,2010-06-01,28.68
Ozone (O3),Mean,ppb,Upper West Side,Summer 2011,2011-06-01,27.89
Ozone (O3),Mean,ppb,Williamsburg - Bushwick,Summer 2010,2010-06-01,32.38
Ozone (O3),Mean,ppb,Upper West Side,Summer 2016,2016-06-01,30.54
Fine particles (PM 2.5),Mean,mcg/m3,East New York,Winter 2015-16,2015-12-01,8.42
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Winter 2015-16,2015-12-01,9.44
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side,Summer 2012,2012-06-01,11.44
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side,Summer 2013,2013-06-01,11.38
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side,Summer 2021,2021-06-01,8.711138978
Fine particles (PM 2.5),Mean,mcg/m3,Pelham - Throgs Neck,Annual Average 2018,2018-01-01,7.0
Fine particles (PM 2.5),Mean,mcg/m3,Staten Island,Summer 2021,2021-06-01,7.882400248
Fine particles (PM 2.5),Mean,mcg/m3,Staten Island,Winter 2021-22,2021-12-01,6.061045884
Fine particles (PM 2.5),Mean,mcg/m3,Staten Island,Annual Average 2016,2015-12-31,6.84
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side,Summer 2023,2023-06-01,9.178931606
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side,Annual Average 2009,2008-12-01,12.18
Fine particles (PM 2.5),Mean,mcg/m3,Upper West Side,Annual Average 2011,2010-12-01,11.49
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Annual Average 2011,2010-12-01,10.88
Fine particles (PM 2.5),Mean,mcg/m3,East New York,Annual Average 2020,2020-01-01,6.02
Fine particles (PM 2.5),Mean,mcg/m3,Staten Island,Summer 2022,2022-06-01,5.831422172
Fine particles (PM 2.5),Mean,mcg/m3,Williamsburg - Bushwick,Winter 2008-09,2008-12-01,15.14
Ozone (O3),Mean,ppb,Sunset Park,Summer 2011,2011-06-01,31.5
Ozone (O3),Mean,ppb,Sunset Park,Summer 2010,2010-06-01,32.71
Ozone (O3),Mean,ppb,Sunset Park,Summer 2016,2016-06-01,33.28
Ozone (O3),Mean,ppb,Upper West Side (CD7),Summer 2021,2021-06-01,27.80975886
Nitrogen dioxide (NO2),Mean,ppb,Staten Island,Winter 2014-15,2014-12-01,19.75
Nitrogen dioxide (NO2),Mean,ppb,Williamsburg - Bushwick,Annual Average 2013,2012-12-01,22.72
Annual vehicle miles traveled (trucks),Million miles,per square mile,Mott Haven and Melrose (CD1),2010,2010-01-01,5.020524
Annual vehicle miles traveled (trucks),Million miles,per square mile,Mott Haven and Melrose (CD1),2019,2019-01-01,7.573504
Annual vehicle miles traveled (trucks),Million miles,per square mile,Financial District (CD1),2019,2019-01-01,4.890343
Asthma hospitalizations due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",Coney Island - Sheepshead Bay,2017-2019,2017-01-01,2.0
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",High Bridge - Morrisania,2017-2019,2017-01-01,15.0
Nitrogen dioxide (NO2),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Annual Average 2009,2008-12-01,29.25
Nitrogen dioxide (NO2),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Annual Average 2011,2010-12-01,27.36
Nitrogen dioxide (NO2),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Summer 2014,2014-06-01,18.58
Nitrogen dioxide (NO2),Mean,ppb,Mott Haven and Melrose (CD1),Annual Average 2015,2015-01-01,21.8
Ozone (O3),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Summer 2011,2011-06-01,29.06
Ozone (O3),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Summer 2010,2010-06-01,30.46
Ozone (O3),Mean,ppb,Mott Haven and Melrose (CD1),Summer 2016,2016-06-01,32.81
Nitrogen dioxide (NO2),Mean,ppb,Fort Greene and Brooklyn Heights (CD2),Summer 2010,2010-06-01,23.47
Nitrogen dioxide (NO2),Mean,ppb,Mott Haven and Melrose (CD1),Winter 2015-16,2015-12-01,24.83
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point and Longwood (CD2),Annual Average 2020,2020-01-01,18.77
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point and Longwood (CD2),Winter 2018-19,2018-12-01,24.5
Ozone (O3),Mean,ppb,Hunts Point and Longwood (CD2),Summer 2022,2022-06-01,32.82476154
Ozone (O3),Mean,ppb,Greenpoint and Williamsburg (CD1),Summer 2022,2022-06-01,32.4542149
